,colour,frequency
667,"(57, 55, 56)",1.0
668,"(218, 207, 161)",1.0
669,"(72, 72, 72)",1.0
670,"(229, 215, 150)",1.0
671,"(71, 71, 63)",1.0
672,"(99, 99, 97)",1.0
673,"(155, 116, 99)",1.0
674,"(246, 194, 134)",1.0
675,"(132, 88, 63)",1.0
676,"(244, 206, 73)",1.0
677,"(63, 135, 97)",1.0
678,"(150, 113, 61)",1.0
679,"(126, 157, 113)",1.0
680,"(91, 136, 155)",1.0
681,"(90, 144, 170)",1.0
682,"(204, 141, 136)",1.0
683,"(248, 222, 225)",1.0
684,"(179, 100, 105)",1.0
685,"(78, 77, 75)",1.0
686,"(63, 136, 65)",1.0
687,"(74, 70, 69)",1.0
688,"(251, 248, 241)",1.0
689,"(91, 162, 182)",1.0
690,"(81, 140, 112)",1.0
691,"(222, 235, 241)",1.0
692,"(181, 41, 67)",1.0
693,"(190, 181, 174)",1.0
694,"(216, 210, 184)",1.0
695,"(243, 242, 248)",1.0
696,"(235, 96, 103)",1.0
697,"(89, 82, 76)",1.0
698,"(94, 93, 91)",1.0
699,"(131, 199, 218)",1.0
700,"(224, 171, 121)",1.0
701,"(140, 130, 129)",1.0
702,"(143, 201, 150)",1.0
703,"(73, 174, 204)",1.0
704,"(160, 91, 94)",1.0
705,"(61, 44, 34)",1.0
706,"(161, 132, 176)",1.0
707,"(252, 216, 216)",1.0
708,"(252, 232, 161)",1.0
709,"(249, 227, 170)",1.0
710,"(108, 108, 108)",1.0
711,"(233, 224, 209)",1.0
712,"(243, 244, 248)",1.0
713,"(141, 121, 149)",1.0
714,"(219, 188, 170)",1.0
715,"(158, 48, 61)",1.0
716,"(218, 167, 184)",1.0
717,"(218, 227, 172)",1.0
718,"(109, 195, 194)",1.0
719,"(139, 160, 129)",1.0
720,"(94, 94, 102)",1.0
721,"(13, 63, 62)",1.0
722,"(182, 142, 116)",1.0
723,"(190, 212, 150)",1.0
724,"(240, 227, 195)",1.0
725,"(83, 74, 69)",1.0
726,"(94, 163, 72)",1.0
727,"(254, 245, 216)",1.0
728,"(220, 236, 200)",1.0
729,"(96, 128, 189)",1.0
730,"(226, 233, 239)",1.0
731,"(60, 56, 55)",1.0
732,"(172, 98, 111)",1.0
733,"(221, 87, 111)",1.0
734,"(239, 128, 56)",1.0
735,"(48, 48, 48)",1.0
736,"(247, 244, 165)",1.0
737,"(63, 59, 56)",1.0
738,"(78, 74, 73)",1.0
739,"(162, 73, 75)",1.0
740,"(229, 236, 244)",1.0
741,"(253, 254, 248)",1.0
742,"(241, 153, 105)",1.0
743,"(236, 129, 75)",1.0
744,"(242, 242, 242)",1.0
745,"(236, 234, 111)",1.0
746,"(208, 143, 151)",1.0
747,"(133, 89, 64)",1.0
748,"(87, 117, 93)",1.0
749,"(123, 173, 208)",1.0
750,"(101, 96, 100)",1.0
751,"(171, 181, 180)",1.0
752,"(143, 138, 134)",1.0
753,"(241, 222, 93)",1.0
754,"(85, 101, 114)",1.0
755,"(217, 208, 229)",1.0
756,"(219, 223, 110)",1.0
757,"(180, 223, 239)",1.0
758,"(243, 233, 206)",1.0
759,"(241, 149, 150)",1.0
760,"(244, 177, 134)",1.0
761,"(0, 88, 110)",1.0
762,"(68, 66, 80)",1.0
763,"(252, 218, 121)",1.0
764,"(67, 66, 64)",1.0
765,"(223, 104, 96)",1.0
766,"(76, 74, 75)",1.0
767,"(100, 96, 95)",1.0
768,"(240, 245, 249)",1.0
769,"(67, 114, 140)",1.0
770,"(197, 215, 227)",1.0
771,"(252, 231, 124)",1.0
772,"(72, 58, 49)",1.0
773,"(71, 64, 71)",1.0
774,"(206, 81, 75)",1.0
775,"(177, 206, 202)",1.0
776,"(90, 88, 89)",1.0
777,"(194, 222, 208)",1.0
778,"(248, 247, 243)",1.0
779,"(245, 197, 53)",1.0
780,"(35, 121, 110)",1.0
781,"(81, 77, 76)",1.0
782,"(133, 54, 57)",1.0
783,"(107, 107, 107)",1.0
784,"(173, 73, 75)",1.0
785,"(98, 89, 84)",1.0
786,"(71, 172, 112)",1.0
787,"(39, 156, 176)",1.0
788,"(64, 99, 153)",1.0
789,"(105, 146, 152)",1.0
790,"(233, 223, 211)",1.0
791,"(182, 102, 115)",1.0
792,"(171, 209, 110)",1.0
793,"(228, 138, 129)",1.0
794,"(243, 115, 106)",1.0
795,"(145, 190, 63)",1.0
796,"(100, 117, 101)",1.0
797,"(243, 171, 193)",1.0
798,"(176, 87, 79)",1.0
799,"(118, 104, 91)",1.0
800,"(236, 225, 239)",1.0
801,"(250, 225, 194)",1.0
802,"(250, 228, 179)",1.0
803,"(199, 165, 200)",1.0
804,"(246, 226, 217)",1.0
805,"(225, 236, 222)",1.0
806,"(92, 92, 92)",1.0
807,"(208, 192, 167)",1.0
808,"(198, 110, 74)",1.0
809,"(186, 157, 117)",1.0
810,"(126, 137, 159)",1.0
811,"(166, 59, 103)",1.0
812,"(168, 209, 153)",1.0
813,"(118, 94, 94)",1.0
814,"(151, 210, 224)",1.0
815,"(76, 150, 175)",1.0
816,"(125, 100, 165)",1.0
817,"(60, 62, 57)",1.0
818,"(94, 76, 74)",1.0
819,"(116, 84, 35)",1.0
